Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Service,Active
A Guided Biofilm Therapy (GBT) é dolorosa para o paciente?,a-guided-biofilm-therapy-gbt-e-dolorosa-para-o-paciente,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,666f4fd96fccf7d29ab13cd0,false,false,Sun Jun 16 2024 20:49:29 GMT+0000 (Coordinated Universal Time),Sun Jun 16 2024 20:50:01 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A Guided Biofilm Therapy (GBT) é geralmente indolor para o paciente. Utiliza tecnologias avançadas, como o Airflow®, que combina água, ar e um pó suave para remover o biofilme de forma eficiente e confortável. Este método é menos invasivo do que as técnicas tradicionais de raspagem manual ou ultrassônica, reduzindo significativamente o desconforto. Além disso, o protocolo GBT é adaptado às necessidades individuais de cada paciente, garantindo uma experiência mais agradável e eficaz.",limpeza-dentaria,true
Aparelho apneia do sono como funciona?,aparelho-apneia-do-sono-como-funciona,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,66087355d10b78c4b3d06c31,false,false,Sat Mar 30 2024 20:17:25 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:14:53 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"O aparelho mais comum para tratar a apneia do sono é o DAM (Dispositivo de Avanço Mandibular), que consiste num aparelho removível bimaxilar que visa fazer o avanço da mandíbula para permitir o aumento de área da via aérea. Dependendo da severidade da apneia, poderá ter de ser usado em combinação com o CPAP (Continuous Positive Airway Pressure), que funciona ao fornecer um fluxo constante e contínuo de ar pressurizado através de uma máscara que se ajusta sobre o nariz e/ou boca. A terapêutica da apneia do sono passa por uma abordagem multidisciplinar entre o médico dentista, pneumonologista, otorrinolaringologista, maxilo-facial e outras especialidades. O uso regular do DAM pode significativamente reduzir os sintomas da apneia do sono, melhorando a saúde geral e a qualidade de vida.",medicina-dentaria-do-sono,true
Aparelhos dentários para corrigir maxilar,aparelhos-dentarios-para-corrigir-maxilar,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,660876b3681eeb75387a7258,false,false,Sat Mar 30 2024 20:31:47 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:06:43 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Para corrigir desalinhamentos dos maxilares, a equipa de ortodontia pode recomendar aparelhos dentários específicos, adaptados ao caso de cada paciente. Os aparelhos fixos tradicionais podem ser utilizados para ajustar o posicionamento dos dentes e, consequentemente, influenciar a posição do maxilar. Expansores palatinos são usados especialmente em crianças e adolescentes para alargar o maxilar superior e corrigir mordidas cruzadas. Aparelhos de avanço mandibular visam ajustar desalinhamentos anteroposteriores, promovendo o crescimento adequado do maxilar inferior em relação ao superior. Em casos mais complexos, pode-se recorrer à ortodontia combinada com cirurgia ortognática, corrigindo discrepâncias significativas entre os maxilares. A escolha do aparelho depende da avaliação detalhada do ortodontista, considerando a idade do paciente, o tipo de maloclusão e a necessidade de movimentação óssea.",ortodontia,true
Apneia do sono obstrutiva,apneia-do-sono-obstrutiva,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,660871e252bf8dea20a018df,false,false,Sat Mar 30 2024 20:11:14 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:18:23 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A apneia do sono obstrutiva (ASO) ocorre quando a via aérea é bloqueada durante o sono, geralmente devido ao relaxamento dos músculos da garganta, resultando em pausas respiratórias. Os sintomas incluem ronco intenso, despertares com sensação de sufocamento, sono não reparador e sonolência diurna excessiva. Fatores de risco envolvem obesidade, estrutura das vias aéreas, uso de álcool e tabaco. O tratamento pode incluir uso de dispositivos CPAP, dispositivos orais, mudanças no estilo de vida e, em casos severos, cirurgia. É importante para prevenir complicações como hipertensão e doenças cardíacas.",medicina-dentaria-do-sono,true
Apneia do sono pode matar ,apneia-do-sono-pode-matar,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,6608725da76dd078a42dd281,false,false,Sat Mar 30 2024 20:13:17 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:17:28 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Embora a apneia do sono por si só raramente cause a morte direta, as suas complicações podem aumentar significativamente o risco de condições potencialmente fatais. A apneia do sono não tratada está associada a uma maior probabilidade de hipertensão, doenças cardíacas, derrames, diabetes tipo 2 e arritmias cardíacas, que podem levar a eventos cardíacos fatais. Além disso, a sonolência diurna excessiva aumenta o risco de acidentes de trânsito e de trabalho. Portanto, embora a apneia do sono em si raramente cause a morte, suas consequências a longo prazo para a saúde podem ser graves, enfatizando a importância de um diagnóstico precoce e tratamento adequado.",medicina-dentaria-do-sono,true
Apneia do sono quais os sintomas?,apneia-do-sono-quais-os-sintomas,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,6608706aa76dd078a42c4466,false,false,Sat Mar 30 2024 20:04:58 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:19:41 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A apneia do sono é caracterizada por pausas respiratórias durante o sono, levando a sintomas como ronco alto, sensação de cansaço após uma noite de sono, dores de cabeça matinais, dificuldade de concentração, irritabilidade, depressão, despertares noturnos com sensação de engasgo ou falta de ar, e hipertensão. Pode aumentar o risco de problemas de saúde sérios, incluindo doenças cardíacas e diabetes. É importante procurar avaliação médica se suspeitar de apneia do sono.",medicina-dentaria-do-sono,true
Apneia do sono tratamento,apneia-do-sono-tratamento,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,6608715e681eeb7538765d1a,false,false,Sat Mar 30 2024 20:09:02 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:19:01 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"O tratamento da apneia do sono varia conforme a gravidade dos sintomas e pode incluir mudanças no estilo de vida, como perda de peso, evitar álcool e sedativos, dormir de lado, e parar de fumar. Dispositivos de pressão positiva contínua nas vias aéreas (CPAP) são comumente usados, mantendo as vias aéreas abertas durante o sono. Dispositivos orais que ajustam a posição da mandíbula ou língua também podem ser recomendados. Em casos severos, pode ser necessária cirurgia para remover tecido obstrutivo ou corrigir anormalidades estruturais. O tratamento é crucial para evitar complicações de saúde relacionadas com a apneia do sono.",medicina-dentaria-do-sono,true
Como colocar aparelhos dentários?,como-colocar-aparelhos-dentarios,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,6608757c9db08fa48e131d60,false,false,Sat Mar 30 2024 20:26:36 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:08:46 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A colocação de aparelhos dentários inicia-se com uma avaliação detalhada pelo ortodontista, incluindo exames clínicos e de imagem, para determinar o plano de tratamento. No dia da colocação, os dentes são limpos e secos. Para aparelhos fixos, uma cola especial é aplicada nos dentes, onde os brackets (pequenas peças metálicas ou de cerâmica) serão fixados aos mesmos. Em seguida, um arco ortodôntico é inserido nos brackets, aplicando a pressão necessária para mover os dentes. Este arco pode ser ajustado ou substituído durante as visitas de acompanhamento, conforme os dentes se movem. Em alguns casos, podem ser necessários elásticos ou outros acessórios para auxiliar no alinhamento e correção da mordida. O processo é geralmente indolor, embora possa causar desconforto ou sensação de pressão nos dias seguintes. O sucesso do tratamento depende também da colaboração do paciente em seguir as orientações do ortodontista e manter uma boa higiene oral.",ortodontia,true
Como funciona aparelhos dentários?,como-funciona-aparelhos-dentarios,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,660874e5a9a1ca9e3dac66c7,false,false,Sat Mar 30 2024 20:24:05 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:09:46 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Aparelhos dentários funcionam aplicando pressão constante nos dentes para gradualmente movê-los para a posição correta dentro da arcada dentária. Essa pressão é ajustada periodicamente pelo ortodontista durante as consultas de manutenção. Existem vários tipos de aparelhos, incluindo os fixos, que são compostos por brackets, fios e, em alguns casos, bandas que envolvem os dentes, e os móveis, que podem ser removidos pelo paciente para limpeza. O processo baseia-se na capacidade do tecido ósseo em se remodelar em resposta à pressão, permitindo que os dentes sejam reorientados. O tempo de tratamento varia de acordo com a complexidade do caso, a idade do paciente e o tipo de aparelho utilizado, podendo durar de alguns meses a vários anos.",ortodontia,true
Como é que eu cuido dos implantes dentários?,como-e-que-eu-cuido-dos-implantes-dentarios,65ff12f00995bbd29abd09c2,65fb2d02af63dc1a4c22777b,65ff14a57ea9ef7622058385,false,false,Sat Mar 23 2024 17:43:01 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:26:15 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Os implantes dentários requerem os mesmos cuidados que os dentes verdadeiros, incluindo a escovagem, o uso do fio dentário, a lavagem com um elixir oral antibacteriano e check-ups dentários regulares.",implantes-dentarios,true
