Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Service,Active
Abordagem Multidisciplinar,abordagem-multidisciplinar,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8b7b6accf546861357e6,false,false,Wed Apr 03 2024 17:01:47 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:57:29 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Integramos diversas especialidades para tratar a causa da dor, oferecendo soluções completas e personalizadas.",dor-orofacial,true
Alívio Eficaz da Dor,alivio-eficaz-da-dor,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8b67eb8632a596527213,false,false,Wed Apr 03 2024 17:01:27 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:57:46 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Os nossos tratamentos são desenhados para proporcionar alívio rápido e duradouro da dor orofacial, melhorando significativamente a qualidade de vida do paciente.",dor-orofacial,true
Alívio Imediato da Dor,alivio-imediato-da-dor,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8d7ca2d329fb986c4153,false,false,Wed Apr 03 2024 17:10:20 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:53:03 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Tratamentos endodônticos são eficazes em eliminar a dor causada por infeções dentárias profundas, proporcionando alívio rápido aos pacientes.",endodontia,true
Aumento da Autoestima,aumento-da-autoestima,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d89e554f650fefd79fa5e,false,false,Wed Apr 03 2024 16:55:01 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:02:34 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),Um sorriso alinhado e harmonioso melhora significativamente a autoimagem e a confiança.,ortodontia,true
Aumento da Confiança,aumento-da-confianca,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8f5554f650fefd7e8d9a,false,false,Wed Apr 03 2024 17:18:13 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:43:30 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Um sorriso bonito e saudável tem um impacto significativo na autoestima, permitindo que se sinta mais confiante nas suas interações diárias.",dentisteria,true
Aumento da Energia e Concentração,aumento-da-energia-e-concentracao,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660c7f84ba456a911480cd3b,false,false,Tue Apr 02 2024 21:58:28 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:03:10 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Melhorando a qualidade do sono, os tratamentos contribuem para um aumento significativo dos níveis de energia e concentração durante o dia.",medicina-dentaria-do-sono,true
Aumento da Longevidade dos Dentes,aumento-da-longevidade-dos-dentes,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8ee945437bf958f100e7,false,false,Wed Apr 03 2024 17:16:25 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:45:47 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Com o cuidado e manutenção adequados, os resultados da reabilitação oral podem ser duradouros, preservando a saúde dos dentes e gengivas a longo prazo.",reabilitacao,true
Conforto Durante o Uso,conforto-durante-o-uso,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8d10c12300de343823c2,false,false,Wed Apr 03 2024 17:08:32 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:54:47 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Desenhados para se ajustar perfeitamente aos dentes, os aparelhos invisíveis são confortáveis e não interferem na fala ou na alimentação.",aparelho-invisivel,true
Construção de uma Relação Positiva com a Medicina Dentária,construcao-de-uma-relacao-positiva-com-a-medicina-dentaria,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8fe58b0e60c36f45dd11,false,false,Wed Apr 03 2024 17:20:37 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:41:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Visitas regulares à consulta de odontopediatria ajudam a construir uma relação positiva das crianças com a medicina dentária, reduzindo o medo e a ansiedade associados a consultas dentárias.",odontopediatria,true
Detecção Precoce de Patologias Dentárias,deteccao-precoce-de-patologias-dentarias,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8f927e7a5b803169eb94,false,false,Wed Apr 03 2024 17:19:14 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:42:54 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Consultas de Odontopediatria regulares permitem a detecção precoce de possíveis patologias dentárias, como cáries dentárias; mau alinhamento dos dentes entre outras patologias, facilitando tratamentos mais simples e menos invasivos",odontopediatria,true
Detecção Precoce de Problemas Dentários,deteccao-precoce-de-problemas-dentarios,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8ca1d57affa8bc20b08f,false,false,Wed Apr 03 2024 17:06:41 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:55:52 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Durante a limpeza, é possível detectar precocemente sinais de problemas dentários, permitindo intervenções rápidas.",limpeza-dentaria,true
Diagnóstico Precoce de Patologias Orais,diagnostico-precoce-de-patologias-orais,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8b01b029ece03ce6ba28,false,false,Wed Apr 03 2024 16:59:45 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:00:02 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"As consultas regulares permitem a deteção precoce de patologias dentárias, possibilitando tratamentos mais simples e menos invasivos.",consulta-dentaria,true
Discrição Total no Tratamento,discricao-total-no-tratamento,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8cfa7cc9d1879e549987,false,false,Wed Apr 03 2024 17:08:10 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:55:17 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"O aparelho invisível é praticamente indetectável, permitindo corrigir seu sorriso sem impactar a sua aparência diária.",aparelho-invisivel,true
Durabilidade e Confiabilidade,durabilidade-e-confiabilidade,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,65ff62e3bc45147e21f4d90e,false,false,Sat Mar 23 2024 23:16:51 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 13:04:07 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Feitos de materiais biocompatíveis, os implantes dentários oferecem uma solução duradoura, sendo uma das opções mais confiáveis para a substituição de dentes.",implantes-dentarios,true
Educação para a Saúde Oral,educacao-para-a-saude-oral,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8b3606c043e1e9a62c2c,false,false,Wed Apr 03 2024 17:00:38 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:58:50 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A nossa equipa dedica-se à instrução sobre cuidados orais em casa, ajudando a manter a sua saúde oral entre as visitas.",consulta-dentaria,true
Facilidade na Higiene Oral,facilidade-na-higiene-oral,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8d467aec39132a6bbf78,false,false,Wed Apr 03 2024 17:09:26 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:53:43 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Sendo removíveis, os aparelhos invisíveis facilitam a higiene oral diária, contribuindo para a manutenção da saúde dentária durante o tratamento.",aparelho-invisivel,true
Manutenção da Estética do Sorriso,manutencao-da-estetica-do-sorriso,65ff62056a67d67ae52ea64b,65fb2d02af63dc1a4c22777b,660d8cb84975a430a87583eb,false,false,Wed Apr 03 2024 17:07:04 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:55:35 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Removendo manchas e placa, a limpeza dentária melhora o aspecto estético do sorriso, deixando os dentes mais brilhantes e saudáveis.",limpeza-dentaria,true
