Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Icon,icon alt text,Active,Mission Statement,Hero Header,Hero Description,Hero Image,Introduction Header,Introduction Description,Introduction Active,Rational Header,Rational Description,Rational Active,Process Header,Process Description,Process Active,Frequent Questions Header,Frequent Questions Description,Frequent Questions Active,Gallery,Gallery Active,Gallery Header,Video Active,Video Header,Video Url,Booking Url
Aparelho Invisível,aparelho-invisivel,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fefec9d9c8b3b51461b4ce,false,false,Sat Mar 23 2024 16:09:45 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Obtenha um sorriso perfeito com discrição total usando o nosso aparelho invisível. Na Clínica Ferreira Borges, a estética encontra a funcionalidade para resultados impressionantes.",https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/65ff02c0d9c8b3b51464f068_clear-aligners_2.svg,,true,"<p id="""">Na Clínica Ferreira Borges, em Lisboa, a nossa missão com o aparelho invisível é oferecer uma solução estética e eficaz para alinhar os seus dentes discretamente. O nosso compromisso com a excelência e personalização do tratamento garante que cada paciente alcance o sorriso dos sonhos, sem comprometer a aparência durante o processo. Escolher nosso aparelho invisível é optar por um caminho de transformação sutil e confiança renovada.</p>",Transforme seu sorriso com o aparelho invisível,"Na Clínica Ferreira Borges, o seu sorriso é a nossa paixão. Com o nosso aparelho invisível, oferecemos uma solução estética e confortável para alinhar os seus dentes discretamente. Desfrute da liberdade de sorrir durante o tratamento, rumo ao sorriso dos seus sonhos.",https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661455d3731e4de772287250_clear_aligners1.jpg,Transforme o Seu Sorriso com o Aparelho Invisível,"Descubra a revolução no mundo da ortodontia com o aparelho invisível. Uma solução moderna, confortável e discreta que permite corrigir os seus dentes sem alterar o seu estilo de vida. Ideal para todos os que procuram melhorar o seu sorriso com confiança e sofisticação.",true,Aparelho Invisível,"O aparelho invisível oferecido pela Clínica Ferreira Borges combina tecnologia de ponta com conforto, proporcionando uma solução estética e eficaz para o alinhamento dentário.",true,Como Obter o Seu Aparelho Invisível na Clínica Ferreira Borges,"Descubra o caminho para um sorriso mais bonito e saudável com o aparelho invisível oferecido pela Clínica Ferreira Borges. Com um processo transparente e personalizado, garantimos que cada etapa do seu tratamento seja confortável e eficaz. Desde a consulta inicial até o planeamento e execução, a nossa equipa de ortodontia estará pronta para atender às suas necessidades específicas, utilizando as mais avançadas tecnologias dentárias. Marque uma consulta hoje mesmo e comece a transformar o seu sorriso de maneira discreta e conveniente.",true,,,false,https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/66146899af81eaa35c5582d5_clear_aligners2.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468ab0c5ef6b1e98679d5_clear_aligners8.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468b29e6fdc97a6f328fe_clear_aligners3.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468c14f058f94fb38740a_clear_aligners7.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468cb00f49730992855d0_clear_aligners4.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468d90ad644fac1591d7b_clear_aligners1.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468e6a11b60f698c14985_clear_aligners6.jpg; https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/661468ee4d24bf857818027b_clear_aligners5.jpg,true,Junte-se à revolução invisível,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=3&doctor=0
Branqueamento,branqueamento,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,66abcea0104cbea3b0bc6ec8,false,false,Thu Aug 01 2024 18:06:24 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Ilumine o seu sorriso com o nosso avançado branqueamento dentário. Na Clínica Ferreira Borges, oferecemos tratamentos seguros e eficazes, feitos à sua medida. Visite-nos para um sorriso radiante e um tratamento dentário excecional.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/66abcd89866bd22f407c23be_dental-care.svg,,true,"<p id="""">Na Clínica Ferreira Borges em Lisboa, a nossa missão com o branqueamento dentário é fornecer uma solução segura e eficaz para um sorriso mais brilhante e radiante. O nosso compromisso com a excelência e atendimento personalizado garante que cada paciente alcance os resultados desejados com conforto e confiança. Escolher o nosso tratamento de branqueamento significa escolher o caminho para um sorriso luminoso e uma auto-confiança renovada.</p>",Ilumine o seu sorriso com o branqueamento dentário avançado,"Ilumine o seu sorriso com o nosso avançado branqueamento dentário. Na Clínica Ferreira Borges, oferecemos tratamentos seguros e eficazes, feitos à sua medida. Visite-nos para um sorriso radiante e um tratamento dentário excecional.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/66abda189c396fcaa1bb2616_whitening.jpg,,,false,,,false,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=14&doctor=0
Cirurgia Oral,cirurgia-oral,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,66073c8d31e4ca76f683c394,false,false,Fri Mar 29 2024 22:11:25 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Confie na nossa equipa de cirurgia oral para tratamentos avançados com segurança e precisão. Na Clínica Ferreira Borges, a sua saúde oral está em boas mãos.",https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/660c724d3e1ed9ce3a82bf3a_016-tooth%20extraction.svg,,true,"<p id="""">A missão da cirurgia oral na Clínica Ferreira Borges em Lisboa é oferecer tratamentos cirúrgicos seguros e eficazes, marcados por um compromisso inabalável com a excelência. O nosso objetivo é resolver complexidades orais com precisão e cuidado, assegurando uma recuperação rápida e confortável para nossos pacientes. Optar pela nossa cirurgia oral é escolher uma solução definitiva para sua saúde oral.</p>",Expertise e Cuidado em Cirurgia Oral,"Com uma combinação de experiência e tecnologia de ponta, a Clínica Ferreira Borges é líder em cirurgia oral. Oferecemos uma gama de procedimentos cirúrgicos com o máximo de segurança e eficácia, desde extrações a correções complexas, garantindo o melhor cuidado e recuperação possível.",https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/660f2436c4f03b0c1fcfef7e_oral_surgery1.jpg,Transforme o Seu Sorriso com a Cirurgia Oral Avançada,"A cirurgia oral é mais do que um procedimento médico. É uma porta para a autoconfiança e um sorriso radiante. Na Clínica Ferreira Borges, combinamos tecnologia de ponta com uma abordagem personalizada, garantindo que cada paciente experimente uma transformação completa, não apenas esteticamente, mas também em termos de saúde oral.",true,Cirurgia Oral,"A cirurgia oral engloba uma variedade de procedimentos destinados a tratar doenças, lesões e defeitos na região oral e maxilofacial. Na Clínica Ferreira Borges, nossa equipe dedicada utiliza técnicas cirúrgicas avançadas para garantir resultados seguros e eficazes.",true,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=4&doctor=0
Consulta Dentária,consulta-dentaria,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fb2d02af63dc1a4c2277f1,false,false,Sun Mar 10 2024 13:01:50 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),Agende a sua consulta dentária na Clínica Ferreira Borges e dê o primeiro passo em direção a um sorriso saudável e radiante. Cuidado personalizado à sua disposição.,https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660c71bb1a1f6f1714908590_007-dental%20report.svg,"Ícone verde simples de uma cadeira de dentista que representa os serviços de consulta dentária da Clínica Ferreira Borges, uma clínica dentária em Campo de Ourique, Lisboa",true,"<p id="""">A Clínica Ferreira Borges, em Lisboa, tem como missão proporcionar consultas dentárias abrangentes, marcadas pelo compromisso com a excelência e pela personalização do atendimento. O nosso objetivo é entender profundamente as necessidades de cada paciente, utilizando tecnologia avançada para oferecer diagnósticos precisos e tratamentos eficazes. Optar por uma consulta conosco é escolher um parceiro dedicado à sua saúde oral e à transformação do seu sorriso.</p>",Cuidado e Prevenção Começam na Consulta Dentária,"A Clínica Ferreira Borges é o seu parceiro ideal para uma saúde oral exemplar. Nas nossas consultas dentárias, oferecemos um serviço personalizado, focado na prevenção, diagnóstico e tratamento de condições orais, assegurando que cada sorriso reflete o melhor de si.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660ef5eda72010992738dec9_dental_chechup2.jpg,Consulta Dentária: O Primeiro Passo Para Um Sorriso Deslumbrante,"Abrir o caminho para um sorriso mais brilhante e saudável começa com a consulta dentária na Clínica Ferreira Borges. Damos importância a um atendimento personalizado, focado não apenas na estética, mas na saúde integral da sua boca. A nossa abordagem é direcionada a entender cada necessidade específica, garantindo tratamentos que combinam tecnologia de ponta com um toque humano e acolhedor.",true,Consulta Dentária,"Na Clínica Ferreira Borges, proporcionamos consultas dentárias abrangentes, focadas na prevenção, diagnóstico e tratamento de problemas orais, garantindo um sorriso saudável e duradouro.",true,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=16&doctor=0
Dentisteria,dentisteria,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,66073cba2d6d72ba4aa04c80,false,false,Fri Mar 29 2024 22:12:10 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),Descubra a excelência em dentisteria na Clínica Ferreira Borges. Combinamos tecnologia de ponta e uma abordagem personalizada para restaurar a saúde e beleza dos seus dentes.,https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/660c731417b5a4e7fca73071_009-dental%20filling.svg,,true,"<p id="""">Na Dentisteria, a nossa missão é restaurar a saúde e a beleza dos dentes com tratamentos estéticos de alta qualidade. Na Clínica Ferreira Borges, em Lisboa, o nosso compromisso com a excelência reflete-se na utilização de materiais de última geração e técnicas avançadas para alcançar resultados naturais e duradouros. Escolher a nossa Dentisteria é investir num sorriso que brilha com saúde e confiança.</p>",Restaure Seu Sorriso com a Arte da Dentisteria,A arte encontra a ciência na Dentisteria da Clínica Ferreira Borges. Focamo-nos em restaurar e embelezar os seus dentes com tratamentos estéticos que refletem a nossa dedicação à excelência. Venha descobrir como podemos transformar o seu sorriso e melhorar a sua autoestima.,https://cdn.prod.website-files.com/65edab180ad493fbc6b6ee2a/660f133373ba5bccbe7e2f6a_dentistry.jpg,Dentisteria: A Arte de Restaurar Sorrisos,"A Dentisteria é uma especialidade da medicina dentária focada na restauração estética e funcional dos dentes, proporcionando não só um sorriso mais belo, mas também uma saúde oral plena. Na Clínica Ferreira Borges, utilizamos as técnicas mais avançadas e materiais de alta qualidade para garantir resultados duradouros e naturais. Acreditamos que um sorriso saudável e radiante pode verdadeiramente transformar a vida de uma pessoa, melhorando não apenas a sua aparência, mas também a sua autoestima e bem-estar geral.",true,Dentisteria,"A Dentisteria é a especialidade que se foca na restauração estética e funcional dos dentes, melhorando tanto a saúde como a aparência do sorriso. Na Clínica Ferreira Borges, utilizamos as técnicas mais avançadas e materiais de alta qualidade para restaurar a beleza natural do seu sorriso.",true,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=5&doctor=0
Dor Orofacial,dor-orofacial,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fb2d02af63dc1a4c2277f2,false,false,Sun Mar 10 2024 13:16:25 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Encontre alívio para a dor orofacial com a nossa abordagem especializada. Na Clínica Ferreira Borges, combinamos conhecimento e tecnologia para tratar eficazmente a sua dor.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/65f340d06e38307efa8f29d8_toothache.svg,Simple green icon of tooth pain representing Orofacial Pain services of Clínica Ferreira Borges a dental clinic in Campo de Ourique Lisbon,true,"<p id="""">A nossa missão é combater eficazmente a dor orofacial, oferecendo diagnósticos precisos e tratamentos personalizados. Na Clínica Ferreira Borges em Lisboa, utilizamos as mais recentes tecnologias e técnicas para proporcionar alívio duradouro, melhorando a qualidade de vida dos nossos pacientes. O nosso compromisso com a excelência permite-nos abordar a dor orofacial com uma compreensão profunda e uma solução efetiva para cada caso.</p>",Alívio Eficaz para a Dor Orofacial,"Enfrente a dor orofacial com confiança na Clínica Ferreira Borges. A nossa equipa dedicada aplica as mais recentes técnicas para diagnosticar e tratar eficazmente a dor, proporcionando alívio duradouro. Libertar-se da dor é o primeiro passo para recuperar a sua qualidade de vida.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6601ec4999c405e558e94ac5_orofacial_pain.jpg,Alívio e Esperança: A Jornada para Superar a Dor Orofacial.,"A dor orofacial, um desafio multifacetado que afeta profundamente a qualidade de vida, não conhece limites. Abrangendo desde dores de cabeça persistentes até desconforto na mandíbula, a complexidade desta condição exige uma abordagem especializada e compassiva. Na Clínica Ferreira Borges, dedicamo-nos a desvendar as camadas dessa dor, oferecendo soluções personalizadas que não apenas tratam, mas transformam vidas.",true,Dor Orofacial,"Especializada no tratamento da dor orofacial, a Clínica Ferreira Borges utiliza abordagens multidisciplinares para oferecer alívio eficaz e melhorar a qualidade de vida dos pacientes.",true,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=7&doctor=0
Endodontia,endodontia,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,66073c5c15c3c50518ab8336,false,false,Fri Mar 29 2024 22:10:35 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Preserve a sua saúde dentária com tratamentos endodônticos de ponta. Na Clínica Ferreira Borges zelamos sempre que possível pela preservação dos seus dentes, mantendo a sua integridade e beleza.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660c7461f5b5590cddfc8d6b_008-tooth%20drill.svg,,true,"<p id="""">A missão da Clínica Ferreira Borges, em Lisboa, em endodontia é preservar a saúde e a integridade dos dentes através de tratamentos de desvitalização de alta precisão. O nosso compromisso com a excelência permite-nos tratar eficazmente infecções dentárias, mantendo os seus dentes e prevenindo futuras complicações. Optar pelos nossos serviços de endodontia é escolher a manutenção da sua saúde oral e a preservação do seu sorriso natural.</p>",Preserve o Seu Dente com Endodontia Avançada,"Mantenha a saúde dos seus dentes com os tratamentos endodônticos da Clínica Ferreira Borges. Utilizamos técnicas avançadas para tratar o interior do dente, eliminando infecções e preservando a sua estrutura natural. Juntos, vamos manter o seu sorriso saudável e completo.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660f17d24978c4d62c457b7e_endo3.jpg,A Chave para um Sorriso Saudável e Sem Dor,"A endodontia, comumente conhecida como desvitalização, é um procedimento revolucionário que não só preserva dentes danificados mas também restaura o seu sorriso e bem-estar. Na Clínica Ferreira Borges, combinamos tecnologia de ponta com uma abordagem cuidadosa para garantir que seu tratamento seja confortável, eficaz e livre de dor.",true,Endodontia,"A endodontia é a especialdiade da medicina dentária focada no tratamento de problemas relacionados com a polpa dentária; infeções dentárias e outras patologias. Na Clínica Ferreira Borges, utilizamos técnicas avançadas de endodontia para tratar eficazmente infecções e preservar a saúde dos seus dentes.",true,,,false,,,false,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=6&doctor=0
Implantes Dentários,implantes-dentarios,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fb2d02af63dc1a4c2277ef,false,false,Sun Mar 10 2024 13:01:50 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),Transforme o seu sorriso com os nossos implantes dentários de última geração. Recupere a confiança e desfrute de uma vida plena com soluções personalizadas na Clínica Ferreira Borges.,https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660c73463ed70e442f4b9f95_010-dental%20implant.svg,"Ícone verde simples de implante dentário que representa os serviços de implantes dentários da Clínica Ferreira Borges, uma clínica dentária em Campo de Ourique, Lisboa",true,"<p id="""">Na Clínica Ferreira Borges em Lisboa, a nossa missão é redefinir sorrisos através da excelência em implantes dentários. Com a mais avançada tecnologia e técnicas inovadoras, dedicamo-nos a restaurar não apenas a estética, mas também a função e confiança dos nossos pacientes. Personalizamos cada tratamento para atender às necessidades individuais, garantindo resultados duradouros que melhoram significativamente a qualidade de vida. Escolher os nossos serviços de implantes dentários é optar por uma solução duradoura para um sorriso completo e radiante.</p>",Renove Seu Sorriso com Implantes Dentários,"Descubra a liberdade de sorrir sem limites com os nossos implantes dentários. Na Clínica Ferreira Borges, utilizamos tecnologia avançada para oferecer soluções que se adaptam perfeitamente à sua vida, restaurando não só a sua estética dental mas também a funcionalidade e confiança no seu sorriso. Junte-se a nós e redescubra o prazer de sorrir.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5063d021b3e0396875c_implants8.jpg,Descubra a Magia dos Implantes Dentários,"Nunca foi tão acessível restaurar o seu sorriso para a sua glória original. Os implantes dentários representam a vanguarda da tecnologia odontológica, oferecendo uma solução permanente para a perda de dentes. Eles não apenas reconstroem a sua estética dentária mas também recuperam a funcionalidade plena da sua boca, permitindo-lhe comer, sorrir e falar com confiança. Na Clínica Ferreira Borges, combinamos experiência com inovação para transformar o seu sorriso e a sua vida.",true,Implantes Dentários,"Os implantes dentários oferecem uma solução permanente e estética para a perda de dentes, melhorando significativamente a qualidade de vida. Na Clínica Ferreira Borges, utilizamos as mais avançadas tecnologias para garantir resultados naturais e duradouros.",true,A viagem até ao seu sorriso ideal: O processo de colocação de implantes dentários,"Embarcar na jornada para restaurar o seu sorriso com implantes dentários é uma experiência transformadora que envolve vários passos fundamentais. Na Clínica Ferreira Borges, estamos empenhados em assegurar que cada fase deste processo é conduzida com o máximo cuidado, precisão e consideração pelo seu conforto e bem-estar. Eis o que pode esperar quando escolhe melhorar o seu sorriso connosco.",true,Perguntas frequentes sobre implantes dentários,"Quer esteja a explorar os serviços dentários pela primeira vez ou tenha dúvidas específicas sobre o seu próximo procedimento, as nossas respostas abrangentes estão aqui para o orientar. Se a sua pergunta não for respondida abaixo, não hesite em contactar-nos diretamente para obter assistência personalizada. Vamos dar o próximo passo em direção ao seu sorriso radiante e saudável juntos.",true,https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5a39c9ecff0a9e8a79f_implants1.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5ad7b60842eeb977aa2_implants5.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5b39f7d8dea44a03609_implants2.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5cdd701807fe6f66303_implants4.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5d24bfad4a42a38388d_implants7.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5ddc31e03ec3b13a6e1_implants8.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5e9a444ff611a2a01ed_implants3.jpg; https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d5f218d66981a2886055_implants6.jpg,true,Renove Seu Sorriso com Implantes Dentários,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=11&doctor=0
Limpeza Dentária,limpeza-dentaria,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fe9c10406cbafb88a6fb41,false,false,Sat Mar 23 2024 09:08:32 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Mantenha o seu sorriso brilhante com a nossa limpeza dentária e destartarização, utilizando o Guided Biofilm Therapy (GBT). Visite a Clínica Ferreira Borges para cuidados preventivos e preserve a saúde dos seus dentes com a tecnologia mais avançada em higiene oral.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660c73dc82886de933bdf6cc_029-teeth.svg,,true,"<p id="""">A missão da Clínica Ferreira Borges, em Lisboa, na limpeza dentária e destartarização é promover a saúde oral duradoura. O nosso compromisso com a excelência reflete-se na utilização de técnicas avançadas para remover placa e tártaro, prevenindo doenças orais como gengivite e periodontite. Optar pelos nossos serviços é escolher um caminho para um sorriso mais brilhante e saudável, garantindo cuidados preventivos personalizados.</p>",Limpeza Dentária Profunda com Guided Biofilm Therapy (GBT),"Na Clínica Ferreira Borges, oferecemos limpeza dentária profunda com a inovadora Guided Biofilm Therapy (GBT) (em português, Terapia Guiada por Biofilme). Esta técnica avançada remove eficazmente a placa bacteriana, garantindo dentes mais limpos e gengivas saudáveis. Experimente a excelência em higiene oral.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616c285d857931888f55905_oral_higiene1.jpg,Limpeza Dentária Profunda e Destartarização: O Caminho para um Sorriso Radiante.,"A saúde do seu sorriso começa com a limpeza dentária profunda e a destartarização, dois pilares essenciais para prevenir doenças orais e garantir a beleza natural dos seus dentes. Na nossa clínica, utilizamos o Guided Biofilm Therapy (GBT) (em português, Terapia Guiada por Biofilme), uma técnica avançada que remove eficazmente a placa bacteriana. Oferecemos tratamentos que não só melhoram a sua saúde oral, mas também devolvem o brilho ao seu sorriso. Descubra como podemos transformar a sua rotina de cuidados orais e assegurar um sorriso mais saudável e atraente.",true,Limpeza Dentária e Destartarização,"A limpeza dentária e destartarização na Clínica Ferreira Borges são essenciais para manter a saúde oral, prevenindo doenças dentárias e promovendo um sorriso mais brilhante e saudável.",true,,,false,Perguntas frequentes sobre Higiene Oral,,true,,false,,true,Descubra o Guided Biofilm Therapy (GBT),https://www.youtube.com/embed/6jvfvYDleJ8?si=g5Ef805BRUyV0r3P,https://booking.clinicaferreiraborges.pt/?language=pt&service=37&doctor=0
Medicina Dentária do Sono,medicina-dentaria-do-sono,65fb2d02af63dc1a4c2277a2,65fb2d02af63dc1a4c22777b,65fb2d02af63dc1a4c2277ee,false,false,Sun Mar 10 2024 13:01:50 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:27:44 GMT+0000 (Coordinated Universal Time),Wed Oct 08 2025 17:34:18 GMT+0000 (Coordinated Universal Time),"Redescubra o prazer de dormir bem. As nossas soluções inovadoras em medicina dentária do sono combatem eficazmente a apneia, promovendo noites tranquilas e dias energizados.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/65f340fecf161ca1be54b5ba_sleeping2.svg,"Ícone verde simples de um paciente a dormir tranquilamente, representando os serviços de Medicina Dentária do Sono da Clínica Ferreira Borges, uma clínica dentária em Campo de Ourique, Lisboa",true,"<p id="""">A missão da Clínica Ferreira Borges, em Lisboa, na medicina dentária do sono é transformar vidas, proporcionando soluções eficazes para distúrbios do sono como a apneia. Utilizando tecnologia de ponta e abordagens personalizadas, nos comprometemos a melhorar a qualidade do sono dos nossos pacientes, impactando positivamente sua saúde geral e bem-estar. O nosso objetivo é assegurar que cada paciente desfrute de noites de sono tranquilas, contribuindo para dias mais felizes e produtivos.</p>",Descanse Melhor com a Medicina Dentária do Sono,"Na Clínica Ferreira Borges, dedicamo-nos a melhorar as suas noites de sono. Através de diagnósticos precisos e tratamentos inovadores, combatemos a apneia do sono e outros distúrbios, proporcionando soluções que melhoram significativamente a sua qualidade de vida. Durma melhor e sinta-se revitalizado connosco.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6601d40a3b03ada3dc730e9f_dental_sleap_medicine.jpg,Medicina Dentária do Sono: Uma Solução Inovadora para a Apneia do Sono.,"A Medicina Dentária do Sono surge como um campo revolucionário, dedicado a combater os distúrbios do sono, incluindo a apneia do sono. Esta especialidade, focada na intersecção entre a medicina dentária e o sono, promete transformar a vida de quem sofre com noites mal dormidas, oferecendo diagnósticos precisos e tratamentos personalizados. A apneia do sono não é apenas um incómodo noturno; é uma condição séria que afeta a qualidade de vida e a saúde geral. Por isso, é essencial procurar soluções eficazes e inovadoras.",true,Medicina Dentária do Sono e Apneia do Sono,"A Clínica Ferreira Borges é especializada em tratamentos inovadores para distúrbios do sono, como a apneia, melhorando significativamente a saúde e o bem-estar dos pacientes.",true,,,false,Perguntas frequentes sobre a apneia do sono,,true,,false,,false,,,https://booking.clinicaferreiraborges.pt/?language=pt&service=34&doctor=0
